Job ID;Internal ID;Task ID;Project ID;Source;Target;Created;Created by;Job due date;Project due date;File;Extension;Workflow;Workflow level;Job status;Job status changed;Project status;Project status changed;Linguist;Vendor;Wordcount;Currency;Rate;Price;Owner;Client;Domain;Subdomain;Cost Center
27818706;1;QI5KRzmgob4AgfFl_dc2;809445;en;de;11.1.2016 15:56;VasekB;26.1.2016 23:00;26.1.2016 23:00;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
27818707;2;TI5KRzmgob4AgfFl_dc2;809445;en;de;11.1.2016 15:56;VasekB;27.1.2016 23:00;26.1.2016 23:00;charter - english-shortened.docx;docx;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;104;EUR;0.05;5.II;VasekB;;;;
27818708;3;UI5KRzmgob4AgfFl_dc2;809445;en;de;11.1.2016 15:56;VasekB;;26.1.2016 23:00;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
27879924;4.I;s3Z15BGqos5kiuiH0_dc2;809388;en;es;12.1.2016 9:23;VasekB;;;67187 c_add_users_individually.dita;dita;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;46;EUR;0.05;2.III;VasekB;;;;
27879925;4.II;s3Z15BGqos5kiuiH0_dc2;809388;en;es;12.1.2016 9:23;VasekB;;;67187 c_add_users_individually.dita;dita;Translation;1;NEW;;NEW;;Vasek_translator;;45;EUR;0.05;II.25;VasekB;;;;
27879926;4.III;s3Z15BGqos5kiuiH0_dc2;809388;en;es;12.1.2016 9:23;VasekB;;;67187 c_add_users_individually.dita;dita;Translation;1;NEW;;NEW;;Vasek_translator;;41;EUR;0.05;2.V;VasekB;;;;
28012770;9;FXFbRzmgobQj9oFl_dc2;809388;en;de;13.1.2016 8:22;VasekB;;;Book1-new.xlsx;xlsx;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;3;EUR;0.05;0.15;VasekB;;;;
28012930;1;icRbRzmgobk7coFl_dc2;828785;en;de;13.1.2016 8:34;VasekB;;;charter - english-import.docx;docx;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
28012932;3;HmNEyildcKi7coFl_dc2;828785;en;de;13.1.2016 8:34;VasekB;;;charter - english-shortened.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;104;EUR;0.05;5.II;VasekB;;;;
28284992;1;oXwx6Amgob4QwZFl_dc2;843085;en;de;20.1.2016 10:26;VasekB;;;Pasted text.txt;txt;Translation;1;NEW;;NEW;;Vasek_translator;;1;EUR;0.05;0.05;VasekB;;;;
28325167;1;TP7JENjgob44L3Gl_dc2;845586;en;de;21.1.2016 14:45;VasekB;;28.1.2016 13:00;index.html;html;Translation;1;EMAILED;;NEW;;Vasek_translator;;528;EUR;0.05;26.IV;VasekB;;;;
28325169;3;DTKYy8mcSBj4L3Gl_dc2;845586;en;de;21.1.2016 14:45;VasekB;;28.1.2016 13:00;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
28325171;5;kWKYy8mcSBz4L3Gl_dc2;845586;en;de;21.1.2016 14:45;VasekB;;28.1.2016 13:00;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
28325173;7;XWKYy8mcSBP4L3Gl_dc2;845586;en;de;21.1.2016 14:45;VasekB;;28.1.2016 13:00;charter - english-source-version 2.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
28393621;3;n7Fay8mcSBPoH8Gl_dc2;847614;en;fr;22.1.2016 13:15;VasekB;;28.1.2016 14:00;index.html;html;Translation;1;EMAILED;;NEW;;Vasek_translator;;528;EUR;0;0;VasekB;;;;
28393970;6;ydmZ9PndcKirH8Gl_dc2;847614;en;fr;22.1.2016 13:15;VasekB;;28.1.2016 14:00;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0;0;VasekB;;;;
28393980;9;Orc0hzDwMmEVmhkH0_dc2;847614;en;fr;22.1.2016 13:15;VasekB;;28.1.2016 14:00;charter - english-source-version 2.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0;0;VasekB;;;;
28424700;7;zOWey8mcSB3k79Gl_dc2;847869;en;de;22.1.2016 15:14;VasekB;;28.1.2016 23:00;charter - english-source.docx;docx;Translation;1;COMPLETED_BY_LINGUIST;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
28424705;9;NOWey8mcSB3k79Gl_dc2;847869;en;de;22.1.2016 15:14;VasekB;;28.1.2016 23:00;charter - english-source-version 2.docx;docx;Translation;1;COMPLETED_BY_LINGUIST;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
28430897;13;GOi39PndcK2Tc9Gl_dc2;847869;en;de;22.1.2016 15:38;VasekB;;28.1.2016 23:00;index.html;html;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;528;EUR;0.05;26.IV;VasekB;;;;
